date,open,high,low,close,volume
2021-04-16,62826.72,63100.98,61515.94,62519.35,47112589658
2021-04-17,62523.84,62530.15,60222.81,60179.95,52900211360
2021-04-18,60177.12,60378.00,55100.00,55652.30,63972703131
2021-04-19,55660.08,57322.82,53122.32,55771.85,61541785983
2021-04-20,55786.19,56736.99,53058.17,56483.32,47094714119
2021-04-21,56475.41,56585.73,53678.04,53904.92,51811716319
2021-04-22,53896.54,55222.10,50520.00,51692.52,58582134499
2021-04-23,51696.80,52238.11,48000.00,51277.60,69062331812
2021-04-24,51271.71,51556.73,48820.00,50082.67,46813084350
2021-04-25,50070.82,50411.37,47011.68,49167.23,44956803048
2021-04-26,49177.58,54274.88,48700.00,54027.97,51441885643
2021-04-27,54027.10,55180.94,53072.85,55077.85,48493669792
2021-04-28,55072.98,55500.00,53115.38,54855.80,47030807324
2021-04-29,54848.45,55086.16,52438.66,53512.68,45437837874
2021-04-30,53503.99,57992.18,53222.05,57782.00,51215224652
2021-05-01,57782.00,58438.84,57655.09,57828.93,36910185828
2021-05-02,57834.10,57990.14,56659.03,56699.65,35116501452
2021-05-03,56711.52,57805.68,56414.43,57708.28,33568175568
2021-05-04,57721.26,57729.11,53397.04,53599.10,45121517105
2021-05-05,53628.78,57976.83,53509.83,57492.15,42056650943
2021-05-06,57521.17,57976.44,55216.83,55297.23,41737294823
2021-05-07,55309.38,58278.23,52900.23,57341.47,47562067184
2021-05-08,57348.76,59477.07,57251.54,58812.36,39201228778
2021-05-09,58830.77,59542.50,55111.21,58262.55,45780507391
2021-05-10,58284.76,59833.84,56331.95,56789.34,51258293256
2021-05-11,56828.02,57995.11,54345.05,56694.22,53214903394
2021-05-12,56741.82,57437.88,49100.00,49150.20,61049809250
2021-05-13,49170.29,51298.09,46652.23,49797.92,63717124180
2021-05-14,49844.00,51430.73,48711.98,49836.21,40494440547
2021-05-15,49885.00,50787.68,46537.17,46710.19,42518792001
2021-05-16,46712.90,49053.55,42152.66,46455.64,60927914953
2021-05-17,46496.66,46530.84,42904.08,43552.85,53778173753
2021-05-18,43568.65,45742.75,42400.83,42875.35,50334362367
2021-05-19,42891.16,43528.52,30000.00,37002.75,130968491681
2021-05-20,37076.58,42467.87,35390.40,40696.70,88041838726
2021-05-21,40709.43,42244.68,37363.56,37552.54,73064551106
2021-05-22,37596.02,38876.14,35281.53,37326.77,57057344600
2021-05-23,37361.80,38251.95,31111.00,34749.46,81592201056
2021-05-24,34797.79,39722.94,34160.09,38705.15,65607810326
2021-05-25,38733.33,39762.00,37214.69,38405.23,49637085201
2021-05-26,38458.99,40532.49,37889.00,39236.85,49050093814
2021-05-27,39277.35,40438.00,37289.19,38299.56,43620377447
2021-05-28,38352.00,38888.00,34706.96,35601.99,49576553357
2021-05-29,35614.35,37791.00,33437.52,34689.58,49050687127
2021-05-30,34669.13,36516.47,33355.00,35694.60,35240891670
2021-05-31,35737.77,37464.13,34227.11,37353.35,35047452066
2021-06-01,36681.98,37894.81,36470.00,37518.92,44150233032
2021-06-02,37507.21,38432.73,37288.47,37520.35,39555374851
2021-06-03,37545.79,39247.33,36776.14,39189.17,43403022266
2021-06-04,39188.88,39391.15,35595.22,36868.06,43679228587
2021-06-05,36852.66,37839.35,35577.08,35594.44,36791504124
2021-06-06,35616.69,36712.29,34285.20,35831.28,35467598673
2021-06-07,35857.34,36875.00,34970.00,33419.66,45653937810
2021-06-08,33461.71,34143.00,31127.00,33571.32,49058562786
2021-06-09,33615.05,37358.16,33445.00,37331.09,44086537224
2021-06-10,37331.25,38464.70,35605.23,36804.21,48455657397
2021-06-11,36835.36,37554.18,35810.00,37391.15,39072848642
2021-06-12,37436.61,37518.58,34621.66,34967.32,35506023821
2021-06-13,34997.10,39230.48,34853.59,39151.69,38133728917
2021-06-14,39185.27,40599.84,38529.58,40190.25,39484712606
2021-06-15,40174.68,41010.54,38519.11,40102.96,35931256356
2021-06-16,40083.11,40558.45,38357.85,38382.52,36481987779
2021-06-17,38340.22,39536.55,37466.71,38066.59,37559879967
2021-06-18,38036.84,38316.38,35700.00,35892.95,34365433945
2021-06-19,35865.37,36480.60,34684.64,35615.95,28679433496
2021-06-20,35558.20,35894.91,33320.00,35606.40,33425850880
2021-06-21,35573.21,35850.00,31705.11,31655.57,43972525283
2021-06-22,31661.77,33368.46,28805.30,32523.28,61835256721
2021-06-23,32537.28,34865.00,32011.88,33739.74,47354401592
2021-06-24,33758.19,35220.00,32477.00,34785.84,40741002156
2021-06-25,34787.29,35392.80,31314.20,31647.89,46788599834
2021-06-26,31676.74,32459.67,30224.15,31997.11,36870671545
2021-06-27,32024.66,34640.00,31920.05,34635.75,37635610366
2021-06-28,34617.40,35187.29,33726.00,34495.83,32408151199
2021-06-29,34524.11,36501.00,34424.64,35852.85,37044541910
2021-06-30,35820.06,36493.00,34472.56,35030.71,35897164866
2021-07-01,35011.74,35172.00,32770.67,33501.58,31336643008
2021-07-02,33514.76,34894.26,32722.22,33767.97,28496613627
2021-07-03,33761.48,34999.94,33295.82,34258.79,26476860614
2021-07-04,34256.45,34694.95,33350.00,33940.76,18999748118
2021-07-05,33941.15,34632.52,33547.58,34055.88,19401782571
2021-07-06,34067.95,34281.60,33690.00,34224.91,19414838408
2021-07-07,34218.22,34987.76,33836.39,33864.94,22068982319
2021-07-08,33854.51,33967.57,32317.17,32825.21,22786767870
2021-07-09,32817.77,33955.70,32228.18,33703.91,22318476326
2021-07-10,33713.17,33989.19,33250.00,33741.78,16606445396
2021-07-11,33742.85,34273.68,33516.84,33927.34,16542830941
2021-07-12,33928.16,34255.62,32800.00,33093.88,21589666054
2021-07-13,33102.25,33144.94,32117.00,32715.78,25664219314
2021-07-14,32718.77,33174.61,31850.00,32813.29,25213843494
2021-07-15,32818.68,33375.51,31612.75,31796.13,24308412714
2021-07-16,31798.28,32092.51,31200.00,31538.73,24312687265
2021-07-17,31534.60,31949.74,31365.00,31503.66,17071571834
2021-07-18,31501.58,31740.00,31178.17,31536.87,15994473961
2021-07-19,31533.10,31931.13,30156.00,30806.80,24336524199
2021-07-20,30818.70,31288.25,29301.56,29787.36,27664062402
2021-07-21,29782.45,32874.60,29541.02,32718.90,30448924279
2021-07-22,32725.16,33262.98,31833.27,32311.46,26883227785
2021-07-23,32309.00,33636.47,32179.97,33565.76,26733670256
2021-07-24,33572.14,34459.47,33418.53,34200.80,24167483291
2021-07-25,34195.88,35319.77,33991.28,35319.77,24374701877
2021-07-26,35318.85,39940.85,35141.28,38410.37,34563414143
2021-07-27,38418.10,39675.20,36492.07,37334.84,39645327021
2021-07-28,37327.30,40771.05,36697.45,39918.17,39411223976
2021-07-29,39916.98,40482.40,38889.39,40002.89,30081868268
2021-07-30,40006.60,42235.91,39705.32,41660.42,38969616365
2021-07-31,41666.14,42196.52,41076.29,41846.70,31918903705
2021-08-01,41844.44,42743.72,41623.44,42191.04,28227737799
2021-08-02,42192.74,42837.75,39182.32,39617.40,36799255817
2021-08-03,39630.75,39780.90,37533.14,38306.44,31764432908
2021-08-04,38301.37,39825.37,37665.25,39738.18,28403496819
2021-08-05,39735.68,41345.50,39282.17,40878.15,29020119932
2021-08-06,40876.67,43362.00,40600.00,42824.98,32556875934
2021-08-07,42826.78,44526.74,42724.99,44659.01,31771642422
2021-08-08,44651.62,45268.09,43324.22,43432.74,29602582792
2021-08-09,43443.75,46477.50,43320.65,46369.98,35154046958
2021-08-10,46372.30,46677.80,44616.68,45635.63,37325965471
2021-08-11,45634.97,46797.47,45139.00,45697.55,35227303200
2021-08-12,45696.93,46688.72,44279.38,44456.93,36863214958
2021-08-13,44453.87,47924.72,44450.63,47731.55,37205137863
2021-08-14,47721.84,47947.62,46745.00,47052.96,34314610321
2021-08-15,47058.45,47392.67,45457.06,47004.62,31547709022
2021-08-16,46997.32,48210.93,45901.71,47819.47,37246546329
2021-08-17,47826.90,48296.09,44733.65,44867.80,41124588829
2021-08-18,44863.85,45290.00,43812.58,44437.28,35087878814
2021-08-19,44446.26,47280.00,44189.89,46792.47,40647362621
2021-08-20,46797.00,49333.28,46688.77,48942.77,36469407396
2021-08-21,48951.25,49650.94,48538.19,49142.06,29826824165
2021-08-22,49144.97,49460.89,48211.65,49444.57,26537912825
2021-08-23,49449.21,50206.09,48763.55,49204.72,31694522601
2021-08-24,49209.05,49715.98,47669.10,47749.78,32940537728
2021-08-25,47750.60,49142.62,47132.77,48944.94,31344138350
2021-08-26,48950.03,49483.48,47176.58,47288.20,31868068301
2021-08-27,47292.16,49151.82,47035.95,49056.02,30704519512
2021-08-28,49065.28,49248.43,48444.33,48946.54,25406416639
2021-08-29,48946.34,49627.97,48480.00,48890.43,23435680890
2021-08-30,48894.04,48894.04,46800.00,47188.20,31562301323
2021-08-31,47195.05,48280.84,46802.17,47156.79,29294992414
2021-09-01,47158.34,48869.68,46992.47,48827.12,29826027552
2021-09-02,48838.67,50044.22,48606.34,49361.72,33784353562
2021-09-03,49367.64,50978.82,49077.78,50035.80,32920124615
2021-09-04,50042.58,50567.78,49045.24,49947.82,29422889067
2021-09-05,49949.85,51932.49,49652.11,51784.84,29792680443
2021-09-06,51793.79,52778.15,50715.01,52626.32,29710459785
2021-09-07,52632.77,52874.85,43070.01,46813.69,64815494923
2021-09-08,46827.25,47357.44,44829.82,46099.73,35849494965
2021-09-09,46106.14,46732.90,45724.10,46356.53,29720933123
2021-09-10,46351.18,46694.13,43942.00,44866.72,32809395317
2021-09-11,44872.32,46079.53,44521.80,45265.95,26227826836
2021-09-12,45271.74,46140.83,44951.35,46031.91,25223568216
2021-09-13,46037.12,46544.70,43357.64,44803.60,32693485494
2021-09-14,44807.89,47209.64,44052.00,47203.33,36754720661
2021-09-15,47205.60,48252.26,46696.89,48110.55,35205172420
2021-09-16,48119.08,48532.27,47007.00,47788.25,30767691177
2021-09-17,47795.42,48528.00,47236.34,47687.66,28703585365
2021-09-18,47682.29,48380.50,47170.82,48272.25,24621292671
2021-09-19,48282.01,48392.39,46677.20,47222.25,23439923126
2021-09-20,47211.83,47495.83,42991.02,42986.39,39027408547
2021-09-21,42991.20,43692.48,39610.28,40693.06,46272594157
2021-09-22,40696.36,43550.11,40430.00,43441.60,40244163327
2021-09-23,43434.92,44870.85,43038.67,44801.34,36829421480
2021-09-24,44809.12,45141.73,41736.95,42726.09,42394731913
2021-09-25,42731.07,43163.38,41680.18,42890.90,29050260638
2021-09-26,42893.33,43859.96,41915.65,43142.58,27368918791
2021-09-27,43147.72,44232.10,42196.46,42248.64,32408955873
2021-09-28,42257.04,42865.66,40969.24,41032.23,32734306287
2021-09-29,41041.85,42517.70,40737.09,41650.00,33197055191
2021-09-30,41656.07,43932.27,41464.62,43820.39,37080727565
2021-10-01,43833.64,48435.22,43778.50,48116.88,42704001573
2021-10-02,48121.39,48366.74,47416.58,47607.17,28826993580
2021-10-03,47613.68,48210.85,47151.40,48104.88,24852905169
2021-10-04,48104.88,49550.00,47379.97,49254.88,32743201989
2021-10-05,49263.24,51628.06,49157.00,51526.24,33952008384
2021-10-06,51543.48,55381.03,50391.24,55364.39,43345306109
2021-10-07,55368.85,55369.63,53747.34,53987.84,36434445802
2021-10-08,53982.25,55994.65,53968.00,53855.67,38044314052
2021-10-09,53843.52,55313.46,53557.92,54833.70,30697223224
2021-10-10,54823.38,55344.09,54266.80,54819.38,27918447164
2021-10-11,54815.95,57776.95,54426.78,57495.98,40739242389
2021-10-12,57499.11,57672.14,54620.00,56052.47,37282918359
2021-10-13,56056.32,57758.90,53910.30,57439.73,39249048875
2021-10-14,57455.75,58450.00,56965.27,57357.33,38407577634
2021-10-15,57346.38,62512.15,57085.47,61503.06,49208745264
2021-10-16,61494.48,62325.84,59822.18,60882.92,36093634048
2021-10-17,60872.50,61750.00,58965.90,61567.17,33100530060
2021-10-18,61568.82,62683.96,60042.72,62035.13,39581605767
2021-10-19,62036.13,64431.20,61700.14,64257.34,43140825737
2021-10-20,64265.96,66892.00,63375.46,66115.29,47984549954
2021-10-21,66118.83,66567.88,62215.06,62239.57,42982538332
2021-10-22,62249.02,64598.80,60052.26,60779.52,42586512818
2021-10-23,60775.62,61687.82,59900.00,61504.59,30074313241
2021-10-24,61511.38,61836.77,59618.00,61318.88,27054081065
2021-10-25,61327.29,63704.00,60280.06,63003.25,33197036485
2021-10-26,63016.68,63294.54,59952.99,60369.54,34750830688
2021-10-27,60366.34,61468.70,58526.43,58434.56,37385933729
2021-10-28,58427.48,61832.55,58219.95,60684.32,37226899794
2021-10-29,60685.32,62362.46,60053.43,62228.38,36699206613
2021-10-30,62237.47,62418.73,60741.38,61888.26,29385013404
2021-10-31,61891.17,62406.31,59788.41,61824.10,31936222189
2021-11-01,61816.56,62436.84,60662.52,61255.10,32187423156
2021-11-02,61257.22,63117.22,60977.94,63207.82,33521997072
2021-11-03,63213.80,63494.28,60302.21,62991.23,41782657411
2021-11-04,63000.75,63198.61,60622.77,61462.46,37426717957
2021-11-05,61465.60,62715.14,60940.00,61256.88,34070813174
2021-11-06,61255.10,61698.52,59724.99,61529.02,31860170367
2021-11-07,61523.35,63050.00,61288.88,63050.00,31985611267
2021-11-08,63042.19,67525.84,62997.33,67173.60,46962301962
2021-11-09,67183.23,68536.88,66120.00,66617.08,46374962532
2021-11-10,66614.67,68722.57,64564.93,64871.94,48812738283
2021-11-11,64873.48,65485.21,64006.45,64990.63,38515173254
2021-11-12,64987.75,65553.00,62536.00,64261.00,39624470137
2021-11-13,64262.20,65088.00,63392.11,64465.36,28154832793
2021-11-14,64455.83,65389.24,64045.56,65535.94,27614148412
2021-11-15,65530.66,66601.28,63000.05,63069.23,37852900239
2021-11-16,63065.25,63692.48,58864.89,60383.72,52273835176
2021-11-17,60386.55,60764.87,58477.93,60345.92,40520868122
2021-11-18,60341.25,60922.32,58126.34,58919.53,39204644857
2021-11-19,58922.99,60026.00,58400.35,58834.60,36012892941
2021-11-20,58831.47,60085.88,58457.16,59721.57,29935092392
2021-11-21,59718.48,60022.79,58516.00,58951.57,26452606216
2021-11-22,58956.10,59626.48,55625.10,56294.95,38038966855
2021-11-23,56283.55,57848.66,55611.00,57591.23,36549478322
2021-11-24,57589.87,57784.98,55869.05,57191.91,33129545400
2021-11-25,57189.92,59158.43,56895.85,59086.67,32225913704
2021-11-26,59072.75,59295.72,53706.12,53794.51,49136796371
2021-11-27,53779.41,55568.00,53639.45,54655.19,34256565891
2021-11-28,54650.15,57944.30,53748.09,57220.88,34562034594
2021-11-29,57222.09,58920.00,56542.80,57866.00,38076416352
2021-11-30,57861.25,59194.20,57000.00,57839.80,39705402839
2021-12-01,57844.35,59054.80,56508.41,57049.12,40503227221
2021-12-02,57051.49,57284.35,56448.05,56873.91,30480908371
2021-12-03,56875.48,57416.49,53221.18,53693.64,44554015394
2021-12-04,53688.44,53750.25,42222.40,49255.94,83031107767
2021-12-05,49267.38,49670.15,47530.09,49315.67,41512893607
2021-12-06,49318.11,51097.97,48729.06,50461.73,35054431759
2021-12-07,50453.57,51916.72,50031.80,50683.72,39521834305
2021-12-08,50691.14,51174.73,48723.64,49138.85,38561968382
2021-12-09,49130.82,49644.09,47716.75,48253.62,36225589945
2021-12-10,48260.80,49418.52,47155.59,47181.73,37167505487
2021-12-11,47187.13,48484.73,46927.11,47556.57,29595024351
2021-12-12,47553.15,48380.48,46722.16,50173.68,27192539100
2021-12-13,50160.33,50263.39,45992.82,46431.15,38461580368
2021-12-14,46428.31,46800.61,45924.71,46678.29,29778248545
2021-12-15,46675.22,49371.74,46220.00,48845.18,39272586757
2021-12-16,48842.83,49460.00,47525.98,47864.28,38408185522
2021-12-17,47859.21,48458.35,45547.63,46128.01,39900891852
2021-12-18,46130.06,47280.13,45698.40,46959.67,30910469055
2021-12-19,46963.06,47932.13,45688.82,46444.83,31696268207
2021-12-20,46441.92,47388.50,45660.29,46874.90,36521972807
2021-12-21,46884.64,49221.15,46503.97,48875.48,34760632483
2021-12-22,48865.41,49245.87,48417.53,48726.44,31259687141
2021-12-23,48727.11,51116.15,48678.67,50574.70,34162685585
2021-12-24,50567.54,51619.77,50427.83,50823.02,30614884307
2021-12-25,50819.40,51195.20,50425.63,50723.37,24220012227
2021-12-26,50717.88,51083.74,50213.29,50790.50,24110246943
2021-12-27,50795.84,52029.82,50614.00,50789.45,30939491248
2021-12-28,50787.82,50937.00,47668.50,47815.80,40562503432
2021-12-29,47816.88,48291.33,46216.04,46459.23,36760343947
2021-12-30,46460.80,47506.57,46292.91,47139.70,33459517533
2021-12-31,47142.56,48400.94,45846.31,46204.90,37470618095
